"Year","Area_type","Area_code","Area_description","Maori_ethnic_group_indicator_summary_code","Maori_ethnic_group_indicator_summary_description","Median_total_personal_income_$"
"2018","Statistical Area 2","109100","Kaipara Coastal","00","No 'Maori' response given","26500"
"2018","Statistical Area 2","109100","Kaipara Coastal","20","Maori","20900"
"2018","Statistical Area 2","109100","Kaipara Coastal","Total","Total","24600"
"2018","Statistical Area 2","109200","Maungaru","00","No 'Maori' response given","31500"
"2018","Statistical Area 2","109200","Maungaru","20","Maori","24600"
"2018","Statistical Area 2","109200","Maungaru","Total","Total","29900"
"2018","Statistical Area 2","109300","Dargaville","00","No 'Maori' response given","22900"
"2018","Statistical Area 2","109300","Dargaville","20","Maori","20000"
"2018","Statistical Area 2","109300","Dargaville","Total","Total","22200"
"2018","Statistical Area 2","109400","Ruawai-Matakohe","00","No 'Maori' response given","24700"
"2018","Statistical Area 2","109400","Ruawai-Matakohe","20","Maori","19800"
"2018","Statistical Area 2","109400","Ruawai-Matakohe","Total","Total","23600"
"2018","Statistical Area 2","109500","Otamatea (Kaipara District)","00","No 'Maori' response given","23800"
"2018","Statistical Area 2","109500","Otamatea (Kaipara District)","20","Maori","21600"
"2018","Statistical Area 2","109500","Otamatea (Kaipara District)","Total","Total","23600"
"2018","Statistical Area 2","109600","Maungaturoto","00","No 'Maori' response given","24200"
"2018","Statistical Area 2","109600","Maungaturoto","20","Maori","23800"
"2018","Statistical Area 2","109600","Maungaturoto","Total","Total","24100"
"2018","Statistical Area 2","109700","Kaiwaka","00","No 'Maori' response given","27900"
"2018","Statistical Area 2","109700","Kaiwaka","20","Maori","22100"
"2018","Statistical Area 2","109700","Kaiwaka","Total","Total","26200"
"2018","Statistical Area 2","109800","Mangawhai Rural","00","No 'Maori' response given","28400"
"2018","Statistical Area 2","109800","Mangawhai Rural","20","Maori","35700"
"2018","Statistical Area 2","109800","Mangawhai Rural","Total","Total","29000"
"2018","Statistical Area 2","109900","Mangawhai Heads","00","No 'Maori' response given","27900"
"2018","Statistical Area 2","109900","Mangawhai Heads","20","Maori","22800"
"2018","Statistical Area 2","109900","Mangawhai Heads","Total","Total","27300"
"2018","Statistical Area 2","110000","Inlet Mangawhai Harbour","00","No 'Maori' response given","C"
"2018","Statistical Area 2","110000","Inlet Mangawhai Harbour","20","Maori","C"
"2018","Statistical Area 2","110000","Inlet Mangawhai Harbour","Total","Total","C"
"2018","Statistical Area 2","110100","Mangawhai","00","No 'Maori' response given","24300"
"2018","Statistical Area 2","110100","Mangawhai","20","Maori","29800"
"2018","Statistical Area 2","110100","Mangawhai","Total","Total","24600"
"2018","Statistical Area 2","110200","Okahukura Peninsula","00","No 'Maori' response given","33800"
"2018","Statistical Area 2","110200","Okahukura Peninsula","20","Maori","27900"
"2018","Statistical Area 2","110200","Okahukura Peninsula","Total","Total","32600"
"2018","Statistical Area 2","110300","Inlet Kaipara Harbour South","00","No 'Maori' response given","C"
"2018","Statistical Area 2","110300","Inlet Kaipara Harbour South","20","Maori","C"
"2018","Statistical Area 2","110300","Inlet Kaipara Harbour South","Total","Total","C"
"2018","Statistical Area 2","110400","Cape Rodney","00","No 'Maori' response given","32100"
"2018","Statistical Area 2","110400","Cape Rodney","20","Maori","31500"
"2018","Statistical Area 2","110400","Cape Rodney","Total","Total","32100"
"2018","Statistical Area 2","110500","Wellsford","00","No 'Maori' response given","25900"
"2018","Statistical Area 2","110500","Wellsford","20","Maori","23000"
"2018","Statistical Area 2","110500","Wellsford","Total","Total","25400"
"2018","Statistical Area 2","110600","Oceanic Auckland Region East","00","No 'Maori' response given","12600"
"2018","Statistical Area 2","110600","Oceanic Auckland Region East","20","Maori","C"
"2018","Statistical Area 2","110600","Oceanic Auckland Region East","Total","Total","12600"
"2018","Statistical Area 2","110700","South Head","00","No 'Maori' response given","33400"
"2018","Statistical Area 2","110700","South Head","20","Maori","23900"
"2018","Statistical Area 2","110700","South Head","Total","Total","31900"
"2018","Statistical Area 2","110800","Kaipara Hills","00","No 'Maori' response given","37100"
"2018","Statistical Area 2","110800","Kaipara Hills","20","Maori","22800"
